Fibonacci Execution Time Comparison
==========================================
n         Synchronous    Threads        Processes      
-------------------------------------------------------
24        0.10           0.09           0.14           
25        0.14           0.16           0.13           
26        0.22           0.26           0.18           
27        0.44           0.40           0.18           
28        0.64           0.63           0.17           
29        1.05           1.07           0.26           
30        1.47           1.72           0.30           
31        2.41           2.85           0.66           
32        4.37           4.52           0.83           
33        6.70           7.39           0.96           
